subject,action,spot,state,year,page,url
train,crash,crossing,MISSISSIPPI,2021,1,"['https://www.actionnews5.com/2021/07/16/passenger-train-headed-memphis-crashes-mississippi/', 'https://wreg.com/news/two-people-killed-in-mississippi-amtrak-crash/', 'https://www.clarionledger.com/story/news/local/2021/07/16/amtrak-semi-collide-near-jackson-mississippi-2-men-killed-no-passengers-injured/7989475002/', 'https://www.wjtv.com/news/two-men-dead-after-amtrak-crash-in-byram/', 'https://www.wlbt.com/2021/07/16/2-confirmed-dead-after-amtrak-train-collides-with-vehicle-near-jackson/', 'https://www.heraldguide.com/news/parish-drivers-frustrated-by-blocked-railroad-crossings/', 'https://jalopnik.com/monster-truck-racer-scott-hartsock-dies-in-amtrak-crash-1847312624', 'https://www.wlbt.com/2021/07/16/insane-driver-team-player-joyous-friend-monster-truckz-remembers-driver-killed-amtrak-crash/']"
train,crash,crossing,MISSISSIPPI,2022,1,"['https://www.kansascity.com/news/business/article269779692.html', 'https://www.wtva.com/news/three-dead-child-in-critical-condition-following-train-collision-in-sherman/article_d432dd78-806a-11ed-ac09-bfb38d227b1f.html', 'https://www.wkrg.com/mobile-county/manslaughter-charge-filed-in-deadly-prichard-train-crash/', 'https://www.theadvocate.com/baton_rouge/news/courts/after-train-derailment-causes-acid-leak-evacuation-in-st-james-nearby-residents-file-lawsuits/article_b18c6946-5c67-11ed-9349-a3553d9dce06.html', 'https://www.kansascity.com/news/politics-government/article268942267.html', 'https://www.brainerddispatch.com/news/local/jury-found-railway-officials-guilty-of-gross-neglect-incompetent', 'https://www.wtva.com/news/local/no-injuries-in-tupelo-train-accident/article_b5650988-999e-11ec-a03a-cf67fea223a4.html', 'https://www.pembrokeobserver.com/news/local-news/remembering-the-almonte-train-wreck-of-1942', 'https://www.kansascity.com/news/business/article269638236.html', 'https://www.kansascity.com/news/local/article268942817.html']"
train,crash,crossing,MISSISSIPPI,2022,2,"['https://www.kansascity.com/news/business/article268879922.html', 'https://www.kansascity.com/news/state/missouri/article268943357.html', 'https://www.kansascity.com/news/business/article268941917.html', 'https://www.kansascity.com/news/state/missouri/article268943027.html', 'https://www.kansascity.com/news/business/article268942557.html', 'https://www.kansascity.com/news/local/article268943142.html', 'https://www.kansascity.com/news/state/missouri/article268943497.html', 'https://www.kansascity.com/news/business/article269676406.html', 'https://www.kansascity.com/news/local/article268887372.html', 'https://www.kansascity.com/news/business/article269788322.html']"
train,crash,crossing,MISSISSIPPI,2022,3,"['https://www.pembrokeobserver.com/news/local-news/remembering-the-almonte-train-wreck-of-1942', 'https://madison.com/news/local/environment/cardinal-hickory-creek-judge-blocks-mississippi-river-crossing-for-492m-power-line/article_761b202c-8d80-5537-9326-d029dbfb62bc.html', 'https://upnorthnewswi.com/2022/11/16/what-can-change-in-a-century-20-photos-of-wisconsin-from-the-20s/']"
train,crash,crossing,MISSISSIPPI,2023,1,"['https://www.wtva.com/news/local/family-wants-railroad-crossing-to-have-barriers-after-fatal-accident-last-year/article_3aadf7f0-9ed7-11ee-8c39-8b9759b97fd9.html', 'https://www.wjtv.com/news/state/railroad-crossing-heres-how-mississippi-drivers-can-stay-safe-around-the-tracks/', 'https://www.kait8.com/2023/11/14/two-injured-train-vs-car-crash/', 'https://www.kansascity.com/news/article272289973.html', 'https://www.wlox.com/2023/09/07/traffic-alert-car-struck-by-train-track-near-highway-49-causing-delays/', 'https://tuscaloosathread.com/tuscaloosa-man-killed-in-collision-with-train-in-west-end-of-birmingham/', 'https://www.miamiherald.com/news/state/florida/article279709654.html', 'https://www.kten.com/truck-train-collide-at-adas-crazy-corner/article_ccad6646-e972-5fa2-91b1-da6805720b82.html', 'https://www.wkow.com/news/it-was-pretty-wild-man-recounts-witnessing-train-derailment-near-devils-lake-state-park/article_8f3995e8-fe70-11ed-9909-d7f7c5727446.html', 'https://countryherald.com/news/history-of-train-accidents-in-kankakee-county-a-reminder-of-the-importance-of-rail-safety/']"
train,crash,crossing,MISSISSIPPI,2023,2,"['https://www.thenewstribune.com/news/state/washington/article278768804.html', 'https://1079ishot.com/train-crash-18-wheeler-verot-school-road/', 'https://www.wtva.com/news/local/truck-driver-charged-with-misdemeanor-after-train-crash-in-hamilton/article_3eaacde0-d873-11ed-b8e7-5b936c325381.html', 'https://thehill.com/policy/energy-environment/3864122-four-rail-borne-risks-moving-through-american-communities/', 'https://www.nbcnews.com/news/us-news/bettersten-wade-dexter-jackson-mississippi-police-missing-rcna121697', 'https://english.elpais.com/usa/2023-03-15/first-major-us-railroad-merger-in-two-decades-will-go-forward.html', 'https://scnow.com/news/local/train-derails-after-striking-vehicle-at-lake-cit-crossing/article_d4e06494-90ea-11ed-9e54-33c8ed80bbcc.html', 'https://www.wlox.com/2023/05/19/long-beach-police-officer-k-9-recovery-after-train-hits-patrol-car/', 'https://www.wtva.com/news/local/train-collided-with-car-friday-afternoon-in-monroe-county/article_e39c83fe-120f-11ee-a6f5-9b8a8f24513e.html', 'https://1079ishot.com/bnsf-releases-statement-on-new-iberia-train-derailment/']"
train,crash,crossing,MISSISSIPPI,2023,3,"['https://www.themirror.com/news/us-news/breaking-niagara-falls-explosion-blast-203750', 'https://www.grunge.com/1294653/deadliest-bus-accidents/']"
train,crash,crossing,MISSISSIPPI,2024,1,"['https://www.fox13memphis.com/news/man-killed-by-train-in-mississippi-sheriffs-office-says/article_022bf83c-13a3-11ef-8693-eb63bdeff8d9.html', 'https://www.wvtm13.com/article/talladega-county-train-car-crash-alabama/60705682', 'https://www.wbrc.com/2024/05/06/louisiana-woman-killed-train-crash-talladega-co/', 'https://www.bnd.com/news/local/article290494404.html', 'https://www.sunherald.com/news/local/counties/harrison-county/article290528074.html', 'https://www.wjtv.com/news/local-news/two-killed-after-train-hits-truck-in-copiah-county/', 'https://www.wlox.com/2024/03/03/cleanup-crews-scene-after-train-collides-with-car-ocean-springs/', 'https://www.cbsnews.com/boston/news/littleton-train-tractor-trailer-crash-king-street-extension/', 'https://www.kten.com/fatal-crash-at-adas-crazy-corner/article_5dd7aa22-7839-5f59-8fd7-02d3400daf9c.html', 'https://www.deltanews.tv/news/regional/teenager-hit-and-killed-by-train/article_1597fb74-776b-11ef-8845-d3e4537d2663.html']"
train,crash,crossing,MISSISSIPPI,2024,2,"['https://ktvz.com/cnn-regional/2024/08/01/city-of-clinton-cautions-drivers-after-ups-truck-collides-with-train/', 'https://www.riverbender.com/news/details/man-identified-in-fatal-train-collision-in-sauget-74741.cfm', 'https://www.actionnews5.com/2024/05/16/pedestrian-dead-after-being-hit-by-amtrak-train-officials-say/', 'https://tasteofcountry.com/train-collides-military-tank-video/', 'https://tuscaloosathread.com/police-id-man-killed-by-train-in-tuscaloosa/', 'https://kezj.com/canyon-county-train-collision-fatalities/', 'https://www.bnd.com/news/local/article290529954.html', 'https://www.wjtv.com/news/local-news/witnesses-recount-moment-ups-truck-train-collided-in-clinton/', 'https://www.kten.com/train-truck-collide-at-adas-crazy-corner/article_800a2d1f-4102-5e59-b5ea-176451017885.html', 'https://www.bnd.com/news/local/article290489729.html']"
train,crash,crossing,MISSISSIPPI,2024,3,"['https://cdllife.com/2024/witnesses-console-trucker-call-police-after-rig-gets-stuck-on-tracks/', 'https://wgntv.com/northwest-indiana/beautiful-inside-and-out-family-wants-answers-after-young-journalist-struck-killed-at-hegewisch-train-station/', 'https://www.cleveland.com/news/2024/02/washington-gridlock-stalls-bipartisan-train-safety-legislation-a-year-after-east-palestine-crash.html', 'https://www.nationalguard.mil/News/Article-View/Article/3812967/michigan-guard-engineers-train-on-wet-gap-crossing/', 'https://taskandpurpose.com/news/ah64-apache-mississippi-crash/', 'https://www.wxow.com/news/top-stories/steam-train-passing-through-la-crosse-on-sunday/article_a6581944-097c-11ef-ac84-37a26795a2f9.html', 'https://www.mississippivalleypublishing.com/the_hawk_eye/40-years-ago-in-the-hawk-eye/article_9f5d5fee-08a2-11ef-b2cd-d70977b15620.html', 'https://www.knoe.com/2024/08/14/traffic-alert-travel-closures-issued-nela-region/', 'https://muscatinejournal.com/news/local/business/contaminated-soil-removed-from-muscatine-county-train-derailment-site/article_250bf41c-389f-11ef-a140-f7869b468c80.html', 'https://nj1015.com/juvenile-killed-by-nj-transit-riverline-train-in-palmyra/']"
