subject,action,spot,date,page,url
train,crash,crossing,2010-05-12,1,https://movieviral.com/2010/05/12/super-8-trailer-breakdown-and-analysis/
train,crash,crossing,2010-05-13,1,https://www.wral.com/story/7593803/
train,crash,crossing,2010-05-13,1,https://www.sandiegouniontribune.com/2010/05/13/13-suffer-minor-injuries-in-nc-train-derailment/
train,crash,crossing,2010-05-14,1,
train,crash,crossing,2010-05-15,1,
train,crash,crossing,2010-05-16,1,
train,crash,crossing,2010-05-17,1,
train,crash,crossing,2010-05-18,1,
train,crash,crossing,2010-05-19,1,
train,crash,crossing,2010-05-20,1,
train,crash,crossing,2010-05-21,1,
train,crash,crossing,2010-05-22,1,
train,crash,crossing,2010-05-23,1,
train,crash,crossing,2010-05-24,1,
train,crash,crossing,2010-05-25,1,
train,crash,crossing,2010-05-26,1,
train,crash,crossing,2010-05-27,1,
train,crash,crossing,2010-05-28,1,
train,crash,crossing,2010-05-29,1,
train,crash,crossing,2010-05-30,1,https://www.mercurynews.com/2010/05/30/light-rail-train-derailed-in-crash-in-north-san-jose/
train,crash,crossing,2010-05-31,1,
train,crash,crossing,2010-06-01,1,
train,crash,crossing,2010-06-02,1,https://patch.com/new-york/sachem/tragic-train-crash-remembered-2
train,crash,crossing,2010-06-03,1,
train,crash,crossing,2010-06-04,1,
train,crash,crossing,2010-06-05,1,
train,crash,crossing,2010-06-06,1,
train,crash,crossing,2010-06-07,1,
train,crash,crossing,2010-06-08,1,
train,crash,crossing,2010-06-09,1,
train,crash,crossing,2010-06-10,1,
train,crash,crossing,2010-06-11,1,
train,crash,crossing,2010-06-12,1,
train,crash,crossing,2010-06-13,1,
train,crash,crossing,2010-06-14,1,
train,crash,crossing,2010-06-15,1,
train,crash,crossing,2010-06-16,1,
train,crash,crossing,2010-06-17,1,
train,crash,crossing,2010-06-18,1,
train,crash,crossing,2010-06-19,1,
train,crash,crossing,2010-06-20,1,
train,crash,crossing,2010-06-21,1,
train,crash,crossing,2010-06-22,1,
train,crash,crossing,2010-06-23,1,https://www.nbcnews.com/id/wbna37887352
train,crash,crossing,2010-06-24,1,https://www.theguardian.com/world/2010/jun/24/spain-train-teenagers-killed
train,crash,crossing,2010-06-25,1,
train,crash,crossing,2010-06-26,1,
train,crash,crossing,2010-06-27,1,
train,crash,crossing,2010-06-28,1,
train,crash,crossing,2010-06-29,1,
train,crash,crossing,2010-06-30,1,https://chippewa.com/news/local/colfax-man-killed-when-tractor-hit-by-freight-train/article_9aae5422-8462-11df-9535-001cc4c002e0.html
train,crash,crossing,2010-07-01,1,
train,crash,crossing,2010-07-02,1,
train,crash,crossing,2010-07-03,1,
train,crash,crossing,2010-07-04,1,
train,crash,crossing,2010-07-05,1,
train,crash,crossing,2010-07-06,1,
